번호,이름,시간분류,형식/소재/세대,비주얼태그,전체라벨
314,KEKW,#고전 #스테디,#유행어,#폭소얼굴 #박장대소 #트위치,#고전 #스테디 #유행어 #폭소얼굴 #박장대소 #트위치
315,OMEGALUL,#고전 #스테디,#유행어,#일그러진웃음 #대폭소 #트위치,#고전 #스테디 #유행어 #일그러진웃음 #대폭소 #트위치
316,Sadge,#고전 #스테디,#유행어,#시무룩 #아쉬움 #트위치,#고전 #스테디 #유행어 #시무룩 #아쉬움 #트위치
317,Copium,#고전 #스테디,#유행어,#산소마스크 #정신승리 #흡입,#고전 #스테디 #유행어 #산소마스크 #정신승리 #흡입
318,Hopium,#고전 #스테디,#유행어,#헛된희망 #버티기,#고전 #스테디 #유행어 #헛된희망 #버티기
319,Malding,#고전 #스테디,#유행어,#분노대머리 #빡침,#고전 #스테디 #유행어 #분노대머리 #빡침
320,Down Bad,#고전 #스테디,#유행어,#푹빠짐 #절박 #짝사랑,#고전 #스테디 #유행어 #푹빠짐 #절박 #짝사랑
321,Cook,#고전 #스테디,#유행어,#요리중 #잘나감 #성과,#고전 #스테디 #유행어 #요리중 #잘나감 #성과
322,Goated,#고전 #스테디,#유행어,#염소 #역대최고 #GOAT,#고전 #스테디 #유행어 #염소 #역대최고 #GOAT
323,W,#고전 #스테디,#유행어,#승리 #더블유 #잘함,#고전 #스테디 #유행어 #승리 #더블유 #잘함
324,Take The L,#고전 #스테디,#유행어,#패배 #엘 #인정,#고전 #스테디 #유행어 #패배 #엘 #인정
325,Yeet,#고전 #스테디,#유행어,#냅다던지기 #기합 #투척,#고전 #스테디 #유행어 #냅다던지기 #기합 #투척
326,Big Yikes,#고전 #스테디,#유행어,#아찔 #민망 #움찔,#고전 #스테디 #유행어 #아찔 #민망 #움찔
327,Sheesh,#고전 #스테디,#유행어,#감탄 #쉬이이 #대단,#고전 #스테디 #유행어 #감탄 #쉬이이 #대단
328,Patrick Bateman Staring,#고전 #스테디,#반응짤,#무표정응시 #정장 #헤드폰 #아메리칸사이코,#고전 #스테디 #반응짤 #무표정응시 #정장 #헤드폰 #아메리칸사이코
329,Tom And Jerry Point,#고전 #스테디,#포맷,#고양이와쥐 #나란히가리키기 #공동지목,#고전 #스테디 #포맷 #고양이와쥐 #나란히가리키기 #공동지목
330,SpongeBob Tired,#고전 #스테디,#반응짤,#축늘어짐 #다크서클 #번아웃,#고전 #스테디 #반응짤 #축늘어짐 #다크서클 #번아웃
331,Patrick Wallet,#고전 #스테디,#반응짤,#빈지갑 #불가사리 #돈없음,#고전 #스테디 #반응짤 #빈지갑 #불가사리 #돈없음
332,Handsome Squidward,#고전 #스테디,#반응짤,#조각턱 #미남변신 #쓰러지기,#고전 #스테디 #반응짤 #조각턱 #미남변신 #쓰러지기
333,Caveman Spongebob,#고전 #스테디,#반응짤,#원시인 #털옷 #멍한표정,#고전 #스테디 #반응짤 #원시인 #털옷 #멍한표정
334,Mr Krabs Blur,#고전 #스테디,#반응짤,#빙글빙글 #어지러움 #빨간게,#고전 #스테디 #반응짤 #빙글빙글 #어지러움 #빨간게
335,Patrick Not My Wallet,#고전 #스테디,#반응짤,#지갑실랑이 #억지논리 #불가사리,#고전 #스테디 #반응짤 #지갑실랑이 #억지논리 #불가사리
336,Is Mayonnaise An Instrument,#고전 #스테디,#포맷,#마요네즈 #밴드연습 #엉뚱질문,#고전 #스테디 #포맷 #마요네즈 #밴드연습 #엉뚱질문
337,Wojak Pointing,#고전 #스테디,#캐릭터,#단체손가락질 #흥분 #입벌림,#고전 #스테디 #캐릭터 #단체손가락질 #흥분 #입벌림
338,Coomer,#고전 #스테디,#캐릭터,#충혈눈 #수염 #중독,#고전 #스테디 #캐릭터 #충혈눈 #수염 #중독
339,Gloomer,#고전 #스테디,#캐릭터,#어두운방 #혼자 #우울,#고전 #스테디 #캐릭터 #어두운방 #혼자 #우울
340,Bloomer,#고전 #스테디,#캐릭터,#미소 #아침햇살 #희망,#고전 #스테디 #캐릭터 #미소 #아침햇살 #희망
341,Consoomer,#고전 #스테디,#캐릭터,#굿즈더미 #쇼핑백 #헤드셋,#고전 #스테디 #캐릭터 #굿즈더미 #쇼핑백 #헤드셋
342,Tradwife Wojak,#고전 #스테디,#캐릭터,#원피스 #금발그림 #전통역할,#고전 #스테디 #캐릭터 #원피스 #금발그림 #전통역할
343,Brainlet,#고전 #스테디,#캐릭터,#쪼그라든머리 #찌그러진얼굴 #멍청,#고전 #스테디 #캐릭터 #쪼그라든머리 #찌그러진얼굴 #멍청
344,Wojak Comics,#고전 #스테디,#포맷,#캐릭터대화 #컷만화 #대비구도,#고전 #스테디 #포맷 #캐릭터대화 #컷만화 #대비구도
345,Money Printer Go Brrr,#고전 #스테디,#포맷,#지폐인쇄기 #달러뿜기 #브르르 #연준,#고전 #스테디 #포맷 #지폐인쇄기 #달러뿜기 #브르르 #연준
346,Pink Wojak,#고전 #스테디,#감정,#분홍얼굴 #피눈물 #폭락 #비명,#고전 #스테디 #감정 #분홍얼굴 #피눈물 #폭락 #비명
347,I Know That Feel Bro,#고전 #스테디,#감정,#포옹 #두대머리 #위로,#고전 #스테디 #감정 #포옹 #두대머리 #위로
348,30-50 Feral Hogs,#고전 #스테디,#포맷,#멧돼지떼 #마당 #3050마리,#고전 #스테디 #포맷 #멧돼지떼 #마당 #3050마리
349,They Did Surgery On A Grape,#고전 #스테디,#포맷,#포도 #수술로봇 #집게 #봉합,#고전 #스테디 #포맷 #포도 #수술로봇 #집게 #봉합
350,How Do You Do Fellow Kids,#고전 #스테디,#포맷,#스케이트보드 #빨간모자 #어색한젊은척,#고전 #스테디 #포맷 #스케이트보드 #빨간모자 #어색한젊은척
351,This Is Bait,#고전 #스테디,#포맷,#미끼 #빨간화살표 #낚시경고,#고전 #스테디 #포맷 #미끼 #빨간화살표 #낚시경고
352,Task Failed Successfully,#고전 #스테디,#포맷,#윈도우오류창 #모순문구 #성공적실패,#고전 #스테디 #포맷 #윈도우오류창 #모순문구 #성공적실패
353,Modern Problems Require Modern Solutions,#고전 #스테디,#포맷,#씩웃음 #기발한해법 #셔펠쇼,#고전 #스테디 #포맷 #씩웃음 #기발한해법 #셔펠쇼
354,Stonks Guy,#고전 #스테디,#캐릭터,#3D정장맨 #밈맨 #매끈얼굴,#고전 #스테디 #캐릭터 #3D정장맨 #밈맨 #매끈얼굴
355,Not Stonks,#고전 #스테디,#반응짤,#하락그래프 #빨간화살표 #울상,#고전 #스테디 #반응짤 #하락그래프 #빨간화살표 #울상
356,HODL,#고전 #스테디,#유행어,#존버 #코인 #꽉쥐기,#고전 #스테디 #유행어 #존버 #코인 #꽉쥐기
357,Diamond Hands,#고전 #스테디,#유행어,#다이아몬드손 #존버 #게임스톱,#고전 #스테디 #유행어 #다이아몬드손 #존버 #게임스톱
358,To The Moon,#고전 #스테디,#유행어,#로켓 #달 #떡상 #🚀,#고전 #스테디 #유행어 #로켓 #달 #떡상 #🚀
359,Nobody Absolutely Nobody,#고전 #스테디,#포맷,#아무도 #텍스트포맷 #뜬금,#고전 #스테디 #포맷 #아무도 #텍스트포맷 #뜬금
360,Me Explaining To My Mom,#고전 #스테디,#포맷,#보드열변 #실뭉치 #엄마무표정,#고전 #스테디 #포맷 #보드열변 #실뭉치 #엄마무표정
361,Nobody Gonna Know,#고전 #스테디,#포맷,#아무도몰라 #속닥 #들킴직전,#고전 #스테디 #포맷 #아무도몰라 #속닥 #들킴직전
362,It Ain't Much But It's Honest Work,#고전 #스테디,#포맷,#농부 #밀짚모자? #밭 #소박한미소,#고전 #스테디 #포맷 #농부 #밀짚모자? #밭 #소박한미소
363,Corporate Needs You To Find The Differences,#고전 #스테디,#포맷,#두그림비교 #차이찾기 #같은그림,#고전 #스테디 #포맷 #두그림비교 #차이찾기 #같은그림
364,E,#고전 #스테디,#포맷,#알파벳E #튀긴화질 #파콰드 #부조리,#고전 #스테디 #포맷 #알파벳E #튀긴화질 #파콰드 #부조리
365,Amogus,#고전 #스테디,#포맷,#찌그러진우주인 #저화질 #빨간크루,#고전 #스테디 #포맷 #찌그러진우주인 #저화질 #빨간크루
366,When The Imposter Is Sus,#고전 #스테디,#포맷,#어몽어스 #임포스터 #붉은크루 #노래,#고전 #스테디 #포맷 #어몽어스 #임포스터 #붉은크루 #노래
367,Pointing Rick Dalton,#고전 #스테디,#반응짤,#TV가리키기 #맥주손 #알아봄 #디카프리오,#고전 #스테디 #반응짤 #TV가리키기 #맥주손 #알아봄 #디카프리오
368,Everything Everywhere Googly Eyes,#고전 #스테디,#포맷,#눈알스티커 #돌 #절벽 #감성,#고전 #스테디 #포맷 #눈알스티커 #돌 #절벽 #감성
369,Polite Cat,#고전 #스테디,#반응짤,#공손미소 #갈색고양이 #입꼬리,#고전 #스테디 #반응짤 #공손미소 #갈색고양이 #입꼬리
370,Screaming Cat,#고전 #스테디,#반응짤,#입쩍벌림 #울부짖음 #항의,#고전 #스테디 #반응짤 #입쩍벌림 #울부짖음 #항의
371,Huh Cat,#고전 #스테디,#반응짤,#뭐라고 #입벌림 #갸웃,#고전 #스테디 #반응짤 #뭐라고 #입벌림 #갸웃
372,Woman Pointing At Cat,#고전 #스테디,#포맷,#식탁 #샐러드접시 #흰고양이 #삿대질,#고전 #스테디 #포맷 #식탁 #샐러드접시 #흰고양이 #삿대질
373,They Ask You How You Are,#고전 #스테디,#포맷,#괜찮은척 #속마음 #억지미소,#고전 #스테디 #포맷 #괜찮은척 #속마음 #억지미소
374,Sad Hamster,#고전 #스테디,#반응짤,#햄스터 #글썽큰눈 #바이올린브금,#고전 #스테디 #반응짤 #햄스터 #글썽큰눈 #바이올린브금
375,Chipi Chipi Chapa Chapa,#2024,#영상 #틱톡,#고양이도리도리 #노래 #루비냥,#2024 #영상 #틱톡 #고양이도리도리 #노래 #루비냥
376,Oi Oi Oi Baby,#2024,#사운드 #틱톡,#드립사운드 #등장브금,#2024 #사운드 #틱톡 #드립사운드 #등장브금
377,Looking At My Wrist Where's My Money,#고전 #스테디,#반응짤,#손목시계보기 #재촉 #돈어딨어,#고전 #스테디 #반응짤 #손목시계보기 #재촉 #돈어딨어
378,Mob Wife Aesthetic,#2024,#라이프스타일 #틱톡,#모피코트 #선글라스 #레오파드 #화려,#2024 #라이프스타일 #틱톡 #모피코트 #선글라스 #레오파드 #화려
379,Nonchalant,#2025,#유행어 #틱톡,#무심한척 #쿨한척 #심드렁,#2025 #유행어 #틱톡 #무심한척 #쿨한척 #심드렁
380,Let Them Cook Variants,#고전 #스테디,#유행어,#요리중 #지켜보기 #기대,#고전 #스테디 #유행어 #요리중 #지켜보기 #기대
381,Skull Emoji,#고전 #스테디,#유행어,#해골이모지 #웃겨죽음 #💀,#고전 #스테디 #유행어 #해골이모지 #웃겨죽음 #💀
382,Real,#고전 #스테디,#유행어,#공감 #리얼 #맞는말,#고전 #스테디 #유행어 #공감 #리얼 #맞는말
383,Fumbled The Bag,#고전 #스테디,#유행어,#기회놓침 #가방떨어뜨림 #아깝다,#고전 #스테디 #유행어 #기회놓침 #가방떨어뜨림 #아깝다
384,Secure The Bag,#고전 #스테디,#유행어,#가방챙기기 #한몫 #기회잡기,#고전 #스테디 #유행어 #가방챙기기 #한몫 #기회잡기
385,Glazing,#2024,#유행어 #틱톡,#과잉칭찬 #아부 #빨아주기,#2024 #유행어 #틱톡 #과잉칭찬 #아부 #빨아주기
386,Crash Out,#2025,#유행어 #틱톡,#폭발 #이성잃음 #멘탈붕괴,#2025 #유행어 #틱톡 #폭발 #이성잃음 #멘탈붕괴
387,Yapping,#고전 #스테디,#유행어,#수다쟁이 #말많음 #떠들기,#고전 #스테디 #유행어 #수다쟁이 #말많음 #떠들기
388,Delusional Delulu,#고전 #스테디,#유행어,#망상긍정 #핑크필터 #행복회로,#고전 #스테디 #유행어 #망상긍정 #핑크필터 #행복회로
389,Serving Looks,#고전 #스테디,#유행어,#패션뽐내기 #비주얼 #런웨이,#고전 #스테디 #유행어 #패션뽐내기 #비주얼 #런웨이
390,Main Character Energy,#고전 #스테디,#유행어,#주인공기운 #스포트라이트 #서사,#고전 #스테디 #유행어 #주인공기운 #스포트라이트 #서사
391,Villain Era,#고전 #스테디,#유행어,#빌런선언 #검은옷 #내멋대로,#고전 #스테디 #유행어 #빌런선언 #검은옷 #내멋대로
392,Ok Then,#고전 #스테디,#유행어,#그래뭐 #시큰둥 #떨떠름,#고전 #스테디 #유행어 #그래뭐 #시큰둥 #떨떠름
393,Bro Thinks He's,#고전 #스테디,#유행어,#착각 #지가뭐라고 #허세,#고전 #스테디 #유행어 #착각 #지가뭐라고 #허세
394,Nah He Tweakin,#고전 #스테디,#유행어,#맛이감 #헛소리 #인스타,#고전 #스테디 #유행어 #맛이감 #헛소리 #인스타
395,It's The For Me,#고전 #스테디,#유행어,#킬포인트 #콕집기 #그부분,#고전 #스테디 #유행어 #킬포인트 #콕집기 #그부분
396,Understandable Have A Nice Day,#고전 #스테디,#포맷,#이해합니다 #좋은하루 #무심수긍,#고전 #스테디 #포맷 #이해합니다 #좋은하루 #무심수긍
397,Joe Mama,#고전 #스테디,#유행어,#조가누구야 #니엄마 #낚시,#고전 #스테디 #유행어 #조가누구야 #니엄마 #낚시
398,Deez Nuts,#고전 #스테디,#유행어,#되묻기낚시 #고전말장난,#고전 #스테디 #유행어 #되묻기낚시 #고전말장난
399,Certified Hood Classic,#고전 #스테디,#포맷,#명곡인증 #자막 #추억,#고전 #스테디 #포맷 #명곡인증 #자막 #추억
400,Emotional Damage,#고전 #스테디,#유행어,#외침 #정신적데미지 #스티븐허,#고전 #스테디 #유행어 #외침 #정신적데미지 #스티븐허
401,Bird Box Challenge,#고전 #스테디,#챌린지,#눈가리개 #안대 #더듬더듬,#고전 #스테디 #챌린지 #눈가리개 #안대 #더듬더듬
402,In My Feelings Challenge,#고전 #스테디,#챌린지,#차에서내려춤 #키키 #도로춤,#고전 #스테디 #챌린지 #차에서내려춤 #키키 #도로춤
403,Ice Bucket Challenge,#고전 #스테디,#챌린지,#얼음물양동이 #뒤집어쓰기 #지목 #기부,#고전 #스테디 #챌린지 #얼음물양동이 #뒤집어쓰기 #지목 #기부
404,Mannequin Challenge,#고전 #스테디,#챌린지,#정지동작 #얼음 #카메라이동,#고전 #스테디 #챌린지 #정지동작 #얼음 #카메라이동
405,Harlem Shake,#고전 #스테디,#영상,#헬멧 #혼자춤 #비트드롭 #떼춤폭발,#고전 #스테디 #영상 #헬멧 #혼자춤 #비트드롭 #떼춤폭발
406,Gangnam Style Reaction,#고전 #스테디,#영상,#말춤 #선글라스 #파란자켓 #강남,#고전 #스테디 #영상 #말춤 #선글라스 #파란자켓 #강남
407,Damn Daniel,#고전 #스테디,#영상,#흰반스 #신발자랑 #댐다니엘,#고전 #스테디 #영상 #흰반스 #신발자랑 #댐다니엘
408,Cash Me Ousside,#고전 #스테디,#유행어,#토크쇼소녀 #하우바우다 #도발,#고전 #스테디 #유행어 #토크쇼소녀 #하우바우다 #도발
409,Charlie Bit My Finger,#고전 #스테디,#영상,#아기형제 #손가락물기 #소파,#고전 #스테디 #영상 #아기형제 #손가락물기 #소파
410,David After Dentist,#고전 #스테디,#영상,#차뒷좌석 #마취몽롱 #이게진짜야,#고전 #스테디 #영상 #차뒷좌석 #마취몽롱 #이게진짜야
411,Chocolate Rain,#고전 #스테디,#영상,#저음노래 #마이크 #원테이크,#고전 #스테디 #영상 #저음노래 #마이크 #원테이크
412,Numa Numa,#고전 #스테디,#영상,#웹캠립싱크 #헤드폰 #신나는춤,#고전 #스테디 #영상 #웹캠립싱크 #헤드폰 #신나는춤
413,Double Rainbow,#고전 #스테디,#영상,#쌍무지개 #감격오열 #요세미티,#고전 #스테디 #영상 #쌍무지개 #감격오열 #요세미티
414,Leave Britney Alone,#고전 #스테디,#영상,#이불 #울면서절규 #금발,#고전 #스테디 #영상 #이불 #울면서절규 #금발
415,Star Wars Kid,#고전 #스테디,#영상,#광선검막대기 #혼자연습 #창고,#고전 #스테디 #영상 #광선검막대기 #혼자연습 #창고
416,Dramatic Chipmunk,#고전 #스테디,#영상,#홱돌아보기 #긴장브금 #프레리도그,#고전 #스테디 #영상 #홱돌아보기 #긴장브금 #프레리도그
417,Sneezing Panda,#고전 #스테디,#영상,#아기판다재채기 #화들짝엄마판다,#고전 #스테디 #영상 #아기판다재채기 #화들짝엄마판다
418,Grumpy Cat RIP,#고전 #스테디,#동물,#심술고양이 #추모 #안식,#고전 #스테디 #동물 #심술고양이 #추모 #안식
419,Keyboard Cat Play Off,#고전 #스테디,#동물,#피아노고양이 #파란셔츠 #퇴장연주,#고전 #스테디 #동물 #피아노고양이 #파란셔츠 #퇴장연주
420,Salt Bae Sprinkle,#고전 #스테디,#유명인,#팔꿈치소금 #선글라스 #고기썰기,#고전 #스테디 #유명인 #팔꿈치소금 #선글라스 #고기썰기
421,Overly Excited Guy,#고전 #스테디,#반응짤,#과잉흥분 #눈반짝 #환호,#고전 #스테디 #반응짤 #과잉흥분 #눈반짝 #환호
422,Gordon Ramsay Idiot Sandwich,#고전 #스테디,#반응짤,#식빵두장 #얼굴끼우기 #호통셰프,#고전 #스테디 #반응짤 #식빵두장 #얼굴끼우기 #호통셰프
423,Confused Nick Young,#고전 #스테디,#반응짤,#물음표둥둥 #농구선수 #갸웃,#고전 #스테디 #반응짤 #물음표둥둥 #농구선수 #갸웃
424,Blinking White Guy,#고전 #스테디,#반응짤,#눈끔뻑 #믿기지않음 #GIF,#고전 #스테디 #반응짤 #눈끔뻑 #믿기지않음 #GIF
425,Michael Jordan Crying,#고전 #스테디,#반응짤,#눈물얼굴합성 #패배자 #농구전설,#고전 #스테디 #반응짤 #눈물얼굴합성 #패배자 #농구전설
426,Tom Cruise Laugh,#고전 #스테디,#반응짤,#과장폭소 #박수 #인터뷰,#고전 #스테디 #반응짤 #과장폭소 #박수 #인터뷰
427,Distraction Dance,#고전 #스테디,#게임,#포트나이트춤 #양팔흔들기 #기본춤,#고전 #스테디 #게임 #포트나이트춤 #양팔흔들기 #기본춤
428,Weird Flex But OK,#고전 #스테디,#유행어,#이상한자랑 #어깨으쓱 #그래뭐,#고전 #스테디 #유행어 #이상한자랑 #어깨으쓱 #그래뭐
429,And I Took That Personally,#고전 #스테디,#반응짤,#조던다큐 #결의 #복수다짐,#고전 #스테디 #반응짤 #조던다큐 #결의 #복수다짐
430,They Don't Know Party,#고전 #스테디,#포맷,#파티구석 #혼자서있기 #생각풍선 #벽기대기,#고전 #스테디 #포맷 #파티구석 #혼자서있기 #생각풍선 #벽기대기
431,POV You're,#고전 #스테디,#포맷,#1인칭 #상황극 #카메라시점,#고전 #스테디 #포맷 #1인칭 #상황극 #카메라시점
432,Nobody Wants To Work Anymore,#고전 #스테디,#포맷,#옛날신문 #흑백사진 #반복역사,#고전 #스테디 #포맷 #옛날신문 #흑백사진 #반복역사
433,Aged Like Milk,#고전 #스테디,#유행어,#상한우유 #빗나간예측 #유통기한,#고전 #스테디 #유행어 #상한우유 #빗나간예측 #유통기한
434,Aged Like Fine Wine,#고전 #스테디,#유행어,#숙성와인 #세월의증명 #명언,#고전 #스테디 #유행어 #숙성와인 #세월의증명 #명언
435,Bro Really Said,#고전 #스테디,#유행어,#어이없는발언 #인용조롱,#고전 #스테디 #유행어 #어이없는발언 #인용조롱
436,The Audacity,#고전 #스테디,#유행어,#뻔뻔함 #무슨배짱 #기가참,#고전 #스테디 #유행어 #뻔뻔함 #무슨배짱 #기가참
437,Not The,#고전 #스테디,#유행어,#하필그거 #콕집기 #웃음포인트,#고전 #스테디 #유행어 #하필그거 #콕집기 #웃음포인트
438,Girl Help,#고전 #스테디,#유행어,#도와줘 #곤란 #허둥,#고전 #스테디 #유행어 #도와줘 #곤란 #허둥
439,Not Me,#고전 #스테디,#유행어,#설마내가 #자조 #찔림,#고전 #스테디 #유행어 #설마내가 #자조 #찔림
440,Tell Me Without Telling Me,#고전 #스테디,#포맷,#간접증명 #챌린지 #보여주기,#고전 #스테디 #포맷 #간접증명 #챌린지 #보여주기
441,It's Corn Kid,#고전 #스테디,#영상,#옥수수소년 #인터뷰 #찬양노래,#고전 #스테디 #영상 #옥수수소년 #인터뷰 #찬양노래
442,Corn Kid Big Lumps,#고전 #스테디,#영상,#옥수수알갱이 #즙 #가사,#고전 #스테디 #영상 #옥수수알갱이 #즙 #가사
443,Berries And Cream,#고전 #스테디,#영상,#더듬이머리 #초록옷 #사탕춤 #옛광고,#고전 #스테디 #영상 #더듬이머리 #초록옷 #사탕춤 #옛광고
444,Oh No Cringe,#고전 #스테디,#반응짤,#오노 #뒷걸음 #떨떠름,#고전 #스테디 #반응짤 #오노 #뒷걸음 #떨떠름
445,Zoomer vs Boomer,#고전 #스테디,#포맷,#세대대결 #젊은이늙은이 #대비,#고전 #스테디 #포맷 #세대대결 #젊은이늙은이 #대비
446,Big Chungus,#고전 #스테디,#캐릭터,#뚱뚱한토끼 #통통 #게임커버패러디,#고전 #스테디 #캐릭터 #뚱뚱한토끼 #통통 #게임커버패러디
447,Cheems,#고전 #스테디,#동물,#시바견 #어눌한말투 #음냐체 #울상,#고전 #스테디 #동물 #시바견 #어눌한말투 #음냐체 #울상
448,Swole Doge,#고전 #스테디,#동물,#근육시바견 #우람 #과거영광,#고전 #스테디 #동물 #근육시바견 #우람 #과거영광
449,Walter Dog,#고전 #스테디,#동물,#튀어나온눈 #불독 #정면응시,#고전 #스테디 #동물 #튀어나온눈 #불독 #정면응시
450,Bingus,#고전 #스테디,#동물,#털없는고양이 #스핑크스 #분홍피부,#고전 #스테디 #동물 #털없는고양이 #스핑크스 #분홍피부
451,Floppa,#고전 #스테디,#동물,#카라칼 #큰귀 #야생고양이,#고전 #스테디 #동물 #카라칼 #큰귀 #야생고양이
452,Maxwell The Cat,#고전 #스테디,#동물,#빙글빙글고양이 #회색고양이 #브금,#고전 #스테디 #동물 #빙글빙글고양이 #회색고양이 #브금
453,Banana Cat,#고전 #스테디,#동물,#바나나껍질 #우는고양이 #AI,#고전 #스테디 #동물 #바나나껍질 #우는고양이 #AI
454,Happy Cat Happy Happy,#고전 #스테디,#동물,#활짝웃는고양이 #해피송 #신남,#고전 #스테디 #동물 #활짝웃는고양이 #해피송 #신남
455,Impostor Vent,#고전 #스테디,#게임,#환풍구 #사라지기 #어몽어스,#고전 #스테디 #게임 #환풍구 #사라지기 #어몽어스
456,Emergency Meeting,#고전 #스테디,#게임,#긴급회의버튼 #소집 #테이블,#고전 #스테디 #게임 #긴급회의버튼 #소집 #테이블
457,Where Impostor,#고전 #스테디,#게임,#의심 #누구야 #투표,#고전 #스테디 #게임 #의심 #누구야 #투표
458,Kanye Shrug,#고전 #스테디,#반응짤,#어깨으쓱 #선글라스 #무심,#고전 #스테디 #반응짤 #어깨으쓱 #선글라스 #무심
459,Kanye Staring,#고전 #스테디,#반응짤,#무표정응시 #정면 #시큰둥,#고전 #스테디 #반응짤 #무표정응시 #정면 #시큰둥
460,Drake No Yes,#고전 #스테디,#포맷,#패딩 #손사래 #손가락승인 #2단,#고전 #스테디 #포맷 #패딩 #손사래 #손가락승인 #2단
461,Surprised Baby,#고전 #스테디,#반응짤,#휘둥그레아기 #입벌림 #충격,#고전 #스테디 #반응짤 #휘둥그레아기 #입벌림 #충격
462,Michael Scott That's What She Said,#고전 #스테디,#반응짤,#사무실 #끼어들기농담 #더오피스,#고전 #스테디 #반응짤 #사무실 #끼어들기농담 #더오피스
463,Jim Halpert Stare,#고전 #스테디,#반응짤,#카메라응시 #어이없음 #무언의눈빛,#고전 #스테디 #반응짤 #카메라응시 #어이없음 #무언의눈빛
464,Dwight Schrute False,#고전 #스테디,#반응짤,#안경 #머시룸컷 #단호반박 #틀렸어,#고전 #스테디 #반응짤 #안경 #머시룸컷 #단호반박 #틀렸어
465,Stanley Parable,#고전 #스테디,#반응짤,#시큰둥 #십자말풀이 #무관심,#고전 #스테디 #반응짤 #시큰둥 #십자말풀이 #무관심
466,Kermit Sipping Tea,#고전 #스테디,#반응짤,#립톤홍차 #홀짝 #능청 #창가,#고전 #스테디 #반응짤 #립톤홍차 #홀짝 #능청 #창가
467,Spongebob Rainbow Imagination,#고전 #스테디,#반응짤,#무지개손 #반짝반짝 #상상,#고전 #스테디 #반응짤 #무지개손 #반짝반짝 #상상
468,Distressed Pikachu,#고전 #스테디,#반응짤,#입벌린피카츄 #놀란척 #노란볼,#고전 #스테디 #반응짤 #입벌린피카츄 #놀란척 #노란볼
469,Bufo Cane Toad,#고전 #스테디,#캐릭터,#두꺼비이모지 #디스코드 #감정세트,#고전 #스테디 #캐릭터 #두꺼비이모지 #디스코드 #감정세트
470,Weird Al,#고전 #스테디,#유명인,#곱슬장발 #아코디언 #패러디송,#고전 #스테디 #유명인 #곱슬장발 #아코디언 #패러디송
471,Shrek Ogre,#고전 #스테디,#캐릭터,#초록괴물 #늪 #양파비유,#고전 #스테디 #캐릭터 #초록괴물 #늪 #양파비유
472,Shrek Somebody Once Told Me,#고전 #스테디,#사운드,#올스타 #오프닝송 #스매시마우스,#고전 #스테디 #사운드 #올스타 #오프닝송 #스매시마우스
473,Thomas The Tank Engine,#고전 #스테디,#캐릭터,#파란기차 #얼굴달린기차 #합성단골,#고전 #스테디 #캐릭터 #파란기차 #얼굴달린기차 #합성단골
474,John Cena Bing Chilling,#고전 #스테디,#영상,#아이스크림 #중국어 #차안영상,#고전 #스테디 #영상 #아이스크림 #중국어 #차안영상
475,You Wouldn't Get It,#고전 #스테디,#포맷,#조커화장? #넌몰라 #잘난척,#고전 #스테디 #포맷 #조커화장? #넌몰라 #잘난척
476,Uno Reverse Card,#고전 #스테디,#포맷,#리버스카드 #빨간카드 #반사,#고전 #스테디 #포맷 #리버스카드 #빨간카드 #반사
477,Infinite IQ,#고전 #스테디,#포맷,#무한지능 #4차원체스 #반어천재,#고전 #스테디 #포맷 #무한지능 #4차원체스 #반어천재
478,Bro Woke Up And Chose,#고전 #스테디,#유행어,#작정 #폭력선택 #독기,#고전 #스테디 #유행어 #작정 #폭력선택 #독기
479,Everyone Liked That,#고전 #스테디,#포맷,#폴아웃알림 #엄지 #만장일치,#고전 #스테디 #포맷 #폴아웃알림 #엄지 #만장일치
480,Nobody Liked That,#고전 #스테디,#포맷,#폴아웃알림 #비호감 #싸늘,#고전 #스테디 #포맷 #폴아웃알림 #비호감 #싸늘
481,Speech 100,#고전 #스테디,#포맷,#스카이림 #스킬업 #말빨만렙,#고전 #스테디 #포맷 #스카이림 #스킬업 #말빨만렙
482,Press F,#고전 #스테디,#게임,#F키 #경의 #장례식장면,#고전 #스테디 #게임 #F키 #경의 #장례식장면
483,Achievement Unlocked,#고전 #스테디,#포맷,#업적알림 #엑스박스 #팝업,#고전 #스테디 #포맷 #업적알림 #엑스박스 #팝업
484,Loading Bar,#고전 #스테디,#포맷,#로딩바 #진행률 #기다림,#고전 #스테디 #포맷 #로딩바 #진행률 #기다림
485,Windows Error,#고전 #스테디,#포맷,#오류팝업 #블루스크린 #경고음,#고전 #스테디 #포맷 #오류팝업 #블루스크린 #경고음
486,404 Not Found,#고전 #스테디,#포맷,#404 #페이지없음 #오류,#고전 #스테디 #포맷 #404 #페이지없음 #오류
487,Task Manager End Task,#고전 #스테디,#포맷,#작업관리자 #강제종료 #응답없음,#고전 #스테디 #포맷 #작업관리자 #강제종료 #응답없음
488,Ctrl Z,#고전 #스테디,#유행어,#되돌리기 #단축키 #실수취소,#고전 #스테디 #유행어 #되돌리기 #단축키 #실수취소
489,This Is Fine Dog Fire,#고전 #스테디,#반응짤,#불타는방 #커피강아지 #모자 #태연,#고전 #스테디 #반응짤 #불타는방 #커피강아지 #모자 #태연
